NAMA_BARANG,NAMA_BARANG_NO_SPCHAR,JML_BARANG,Predicted_JENIS,Precision_Product,Precision_Service
CRUDE PALM OIL,CRUDE PALM OIL,496930.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,497080.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,497670.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSPANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450CPO245021C041,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS PANGKALAN PANJI  MILL KE BULKING BOOM BARU DO  2450 CPO 2450 21 C041,497970.0,service,-,1.0
Pelunasan 20 Crude Palm Oil Kontrak No PAJTNCPO047IV2021  PO 9100075433,PELUNASAN 20 CRUDE PALM OIL KONTRAK NO PAJ TN CPO 047 IV 2021  PO 9100075433,498170.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,498220.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,498260.0,product,0.9872340425531915,-
Penyesuaian Ongkos Angkut CPO,PENYESUAIAN ONGKOS ANGKUT CPO,498290.0,service,-,1.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2451CPO285021C014,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS MUARA KANDIS MILL KE BULKING BOOM BARU DO  2451 CPO 2850 21 C014,498520.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,498820.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,498900.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,498990.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499030.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,499090.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499100.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,499116.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499140.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2451CPO285021C010,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS MUARA KANDIS MILL KE BULKING BOOM BARU DO  2451 CPO 2850 21 C010,499410.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,499500.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499500.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499580.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,499591.0,product,0.9872340425531915,-
Palm Kernel,PALM KERNEL,499680.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,499747.0,product,0.9872340425531915,-
Pelunasan CPO Crude Palm Oil Kontrak No 0054SMKTNGCPOII2021,PELUNASAN CPO CRUDE PALM OIL KONTRAK NO 0054 SMK TNG CPO II 2021,499760.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499970.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,499986.0,product,0.9872340425531915,-
ANGKUTAN CRUDE PALM OIL  CPO ,ANGKUTAN CRUDE PALM OIL  CPO,500000.0,product,0.9872340425531915,-
CPO,CPO,500000.0,service,-,1.0
Crude Palm Oil CPO,CRUDE PALM OIL CPO,500000.0,product,0.9872340425531915,-
PALM KERNEL OIL MINYAK INTI SAWIT,PALM KERNEL OIL MINYAK INTI SAWIT,500000.0,service,-,1.0
Pelunasan 20 atas SPJB No  048MMALCBUCPOXII2020,PELUNASAN 20 ATAS SPJB NO  048 MMAL CBU CPO XII 2020,500000.0,service,-,1.0
Pelunasan CPO 10 atas SPJB No  085MMALCBUCPOX2021,PELUNASAN CPO 10 ATAS SPJB NO  085 MMAL CBU CPO X 2021,500000.0,product,0.9872340425531915,-
Penjualan CPO Sesuai NoKontrak  11GLPCPOII2021 KPPO  9100073151 Qty  500 Ton,PENJUALAN CPO SESUAI NO KONTRAK  11 GLP CPO II 2021 KP PO  9100073151 QTY  500 TON,500000.0,product,0.9872340425531915,-
Uang Muka CPO 90 atas SPJB No  046MMALCBUCPOV2021,UANG MUKA CPO 90 ATAS SPJB NO  046 MMAL CBU CPO V 2021,500000.0,product,0.9872340425531915,-
Uang Muka CPO 90 atas SPJB No  069MMALCBUCPOVIII2021,UANG MUKA CPO 90 ATAS SPJB NO  069 MMAL CBU CPO VIII 2021,500000.0,product,0.9872340425531915,-
Uang Muka Crude Palm Oil CPO Kontrak No 0054SMKTNGCPOII2021,UANG MUKA CRUDE PALM OIL CPO KONTRAK NO 0054 SMK TNG CPO II 2021,500000.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,500030.0,product,0.9872340425531915,-
Palm Kernel,PALM KERNEL,500050.0,product,0.9872340425531915,-
ONGKOS ANGKUTAN LAUT KAPAL KM SUMBER REJEKI 88 MUAT INTI SAWIT DARI KETAPANG KE LAMPUNG,ONGKOS ANGKUTAN LAUT KAPAL KM SUMBER REJEKI 88 MUAT INTI SAWIT DARI KETAPANG KE LAMPUNG,500200.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,500420.0,product,0.9872340425531915,-
Biaya Angkut CPO,BIAYA ANGKUT CPO,500459.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,500730.0,service,-,1.0
PALM KERNEL,PALM KERNEL,500758.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,500902.0,product,0.9872340425531915,-
PALM KERNEL,PALM KERNEL,500928.0,product,0.9872340425531915,-
PELUNASAN PALM KERNEL,PELUNASAN PALM KERNEL,501210.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,501216.0,product,0.9872340425531915,-
Crude Palm Oil,CRUDE PALM OIL,501850.0,product,0.9872340425531915,-
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,502280.0,service,-,1.0
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSMUARA KANDIS MILL KE BULKING BOOM BARU DO  2850CPO285021C046,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS MUARA KANDIS MILL KE BULKING BOOM BARU DO  2850 CPO 2850 21 C046,502720.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,503060.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750CPO275021C043,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS BUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750 CPO 2750 21 C043,503240.0,service,-,1.0
Palm Kernel Oil,PALM KERNEL OIL,503860.0,product,0.9872340425531915,-
Palm Kernel Oil,PALM KERNEL OIL,505200.0,product,0.9872340425531915,-
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,505700.0,service,-,1.0
Pelunasan 20 Crude Palm Oil Kontrak No PAJTNCPO005I2021  PO 9100071922,PELUNASAN 20 CRUDE PALM OIL KONTRAK NO PAJ TN CPO 005 I 2021  PO 9100071922,508920.0,product,0.9872340425531915,-
Ongkos Angkut TBS Div 3,ONGKOS ANGKUT TBS DIV 3,516090.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,516870.0,service,-,1.0
PALM KERNEL,PALM KERNEL,519120.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,519360.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,520000.0,product,0.9872340425531915,-
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,539030.0,service,-,1.0
Ongkos Angkut TBS Div 1,ONGKOS ANGKUT TBS DIV 1,542380.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,550000.0,product,0.9872340425531915,-
Ongkos Angkut TBS Div 4,ONGKOS ANGKUT TBS DIV 4,551650.0,service,-,1.0
Ongkos Angkut TBS DIV 5,ONGKOS ANGKUT TBS DIV 5,557870.0,service,-,1.0
CRUDE PALM OIL,CRUDE PALM OIL,560000.0,product,0.9872340425531915,-
Ongkos Angkut TBS DIV 3,ONGKOS ANGKUT TBS DIV 3,561670.0,service,-,1.0
TBS PERIODE 15 OKTOBER 2021,TBS PERIODE 15 OKTOBER 2021,563293.0,product,0.9872340425531915,-
Ongkos Angkut TBS DIV 1,ONGKOS ANGKUT TBS DIV 1,569850.0,service,-,1.0
Ongkos Angkut TBS DIV 4,ONGKOS ANGKUT TBS DIV 4,573000.0,service,-,1.0
TBS PERIODE 22 DESEMBER 2021,TBS PERIODE 22 DESEMBER 2021,573593.625,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,580000.0,product,0.9872340425531915,-
Ongkos Angkut TBS Div 2,ONGKOS ANGKUT TBS DIV 2,593150.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,595980.0,product,0.9872340425531915,-
Tuslaag CPO,TUSLAAG CPO,596330.0,service,-,1.0
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,597060.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,597260.0,product,0.9872340425531915,-
ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKSBUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750CPO275021C007,ONGKOS ANGKUT CPO CRUDE PALM OIL DARI PKS BUMI SAWIT PERMAI KE BULKING BOOM BARU DO  2750 CPO 2750 21 C007,598160.0,service,-,1.0
Crude Palm Oil,CRUDE PALM OIL,598170.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,599110.0,product,0.9872340425531915,-
JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,JASA ANGKUT CPO DARI PABRIK MEGANUSA INTISAWIT KE BULKING RENGAT,599150.0,service,-,1.0
PALM KERNEL,PALM KERNEL,599170.0,product,0.9872340425531915,-
CRUDE PALM OIL,CRUDE PALM OIL,599240.0,product,0.9872340425531915,-
Ongkos Angkut CPO,ONGKOS ANGKUT CPO,599620.0,service,-,1.0
CRUDE PALM OIL  012RSILCPOIII2021,CRUDE PALM OIL  012 RSIL CPO III 2021,600000.0,product,0.9872340425531915,-
JASA ANGKUT CPO,JASA ANGKUT CPO,600000.0,service,-,1.0
PALM KERNEL RSPOMB,PALM KERNEL RSPO MB,600000.0,product,0.9872340425531915,-
Pelunasan CPO 10 atas SPJB No  078MMALCBUCPOIX2021,PELUNASAN CPO 10 ATAS SPJB NO  078 MMAL CBU CPO IX 2021,600000.0,product,0.9872340425531915,-
Uang Muka CPO 90 atas SPJB No  074MMALCBUCPOVIII2021,UANG MUKA CPO 90 ATAS SPJB NO  074 MMAL CBU CPO VIII 2021,600000.0,product,0.9872340425531915,-
Uang Muka CPO 90 atas SPJB No  076MMALCBUCPOIX2021,UANG MUKA CPO 90 ATAS SPJB NO  076 MMAL CBU CPO IX 2021,600000.0,product,0.9872340425531915,-
