NAMA_BARANG,JML_BARANG
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0306POMKPRCPOVIII2021 Tanggal 10 Agustus 2021 PO No 9100079145,80000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0392POMKPRCPOX2021 Tanggal 07 Oktober 2021 PO No 9100081336,80000.0
Crude Palm Oil Pelunasan Surat Perjanjian JualBeli No0398POMKPRCPOX2021 Tanggal 12 Oktober 2021 PO No 9100081484,80000.0
Palm Kernel  Surat Perjanjian JualBeli No0006POMKPRPKI2021 Tanggal 06 Januari 2021 PO No 9100071767,80000.0
Palm Kernel  Surat Perjanjian JualBeli No0046POMKPRPKII2021 Tanggal 03 Februari 2021 PO No 9100072703,80000.0
Palm Kernel DP 95 Surat Perjanjian JualBeli No0112POMKPRPKIII2021 Tanggal 24 Maret 2021 PO No 9100074438,80000.0
Palm Kernel DP 95 Surat Perjanjian JualBeli No0140POMKPRPKIV2021 Tanggal 14 April 2021 PO No 9100075154,80000.0
Palm Kernel Pelunasan Surat Perjanjian JualBeli No0064POMKPRPKII2021 Tanggal 17 Februari 2021 PO No 9100073155,80000.0
Palm Kernel Pelunasan Surat Perjanjian JualBeli No0401POMKPRPKX2021 Tanggal 13 Oktober 2021 PO No 9100081509,80000.0
Palm Kernel Pelunassan Surat Perjanjian JualBeli No0361POMKPRPKIX2021 Tanggal 15 September 2021 PO No 9100080439,80000.0
Palm Kernel Surat Perjanjian JualBeli No0150POMKPRPKIV2021 Tanggal 21 April 2021 PO No 9100075392,80000.0
CPOCrude Palm Oil NoKontrak 034PMCCPOII2021,80340.0
PALM KERNEL,80370.0
PALM KERNEL,80380.0
PKPalm Kernel Kontrak No007PSJCPKI2021,80500.0
PALM KERNEL PK,80860.0
CRUDE PALM OIL,80900.0
TBS PERIODE 23  27 JUNI 2021,82427.29688
PALM KERNEL,82860.0
PALM KERNEL,83020.0
PALM KERNEL,83240.0
CRUDE PALM OIL,84320.0
Crude Palm Oil,84466.0
Ongkos angkut CPO,84750.0
CRUDE PALM OIL CPO SESUAI KONTRAK NO SO01021021307202122152 DAN INVOICE NOINV00821021309202122137,85412.0
PANJAR PALM KERNEL KONTRAK NO 010SJMSKJBPKII2021,85500.0
PANJAR PALM KERNEL KONTRAK NO 098SJMSKJBPKXI2021,85500.0
Ongkos Angkut TBS Div 4,86190.0
Ongkos Angkut TBS DIV 3,86220.0
PENJUALAN CPO 136CPOKSPSIPXI2021,86280.0
Tuslaag TBS Div 1,86280.0
CRUDE PALM OIL,87720.0
PKPalm Kernel NoKontrak 059PMCPKIV2021,88460.0
PKPalm Kernel NoKontrak 077PMCPKIV2021,88840.0
PALM KERNEL,88940.0
PALM KERNEL,89860.0
PALM KERNEL,89870.0
CRUDE PALM OIL,90050.0
CPO Crude Palm Oil Kontrak 037CPOIMTLILIX2021,91220.0
Penjualan CPO 280SRMCPOPKUXII2020,91370.0
PALM KERNEL,91450.0
Ongkos Angkut TBS DIV 1,91620.0
UANG MUKA PK  PALM KERNEL ,92500.0
TBS Periode 03  09 November 2021,92522.0
